price,timestamp,lastupdateid,pricechange,pricechangepercent,weightedavgprice,prevcloseprice,lastprice,lastqty,bidprice,bidqty,askprice,askqty,openprice,highprice,lowprice,volume,quotevolume
60550.16,2024-08-10 01:40:08.164375,50149055618,-963.24000000,-1.56600000,60583.30530384,61513.40000000,60550.16000000,0.00108000,60550.15000000,3.53994000,60550.16000000,0.11297000,61513.40000000,61573.27000000,59535.00000000,29491.60759000,1786699066.52592470
60622.01,2024-08-10 01:45:07.552179,50149163015,-778.00000000,-1.26700000,60579.07824276,61400.01000000,60622.01000000,0.00144000,60622.00000000,0.59803000,60622.01000000,3.94359000,61400.01000000,61573.27000000,59535.00000000,29389.91760000,1780414117.83852900
60577.64,2024-08-10 01:50:07.022844,50149263281,-728.01000000,-1.18800000,60576.76125868,61305.64000000,60577.64000000,0.00039000,60577.63000000,0.49062000,60577.64000000,4.91497000,61305.65000000,61573.27000000,59535.00000000,29322.12056000,1776239096.76145300
60482.01,2024-08-10 01:55:07.475146,50149361793,-897.98000000,-1.46300000,60575.12665666,61379.99000000,60482.01000000,0.11266000,60482.00000000,2.26024000,60482.01000000,2.59113000,61379.99000000,61573.27000000,59535.00000000,29311.00598000,1775517899.67266420
60471.86,2024-08-10 02:00:06.936074,50149433065,-928.14000000,-1.51200000,60573.99779463,61399.99000000,60471.86000000,0.00010000,60471.85000000,5.79386000,60471.86000000,0.21738000,61400.00000000,61573.27000000,59535.00000000,29292.41034000,1774358399.33466700
60506.2,2024-08-10 02:05:27.19713,50149598270,-812.36000000,-1.32500000,60570.30057683,61318.57000000,60506.20000000,0.00167000,60506.20000000,1.20410000,60506.21000000,2.65307000,61318.56000000,61573.27000000,59535.00000000,29309.33435000,1775275191.28637100
60493.48,2024-08-10 02:10:19.313303,50149708617,-883.40000000,-1.43900000,60567.55506788,61379.42000000,60496.01000000,0.06584000,60496.00000000,5.34316000,60496.01000000,0.26178000,61379.41000000,61573.27000000,59535.00000000,29258.72658000,1772129533.35026480
60584.42,2024-08-10 02:15:23.79582,50149785553,-723.58000000,-1.18000000,60565.27539089,61308.00000000,60584.42000000,0.00269000,60584.41000000,0.58725000,60584.42000000,2.92593000,61308.00000000,61573.27000000,59535.00000000,29191.81418000,1768010264.97140070
60715.98,2024-08-10 02:20:06.979343,50149888988,-584.03000000,-0.95300000,60563.71275769,61300.00000000,60715.98000000,0.00064000,60715.98000000,2.88548000,60715.99000000,0.35838000,61300.01000000,61573.27000000,59535.00000000,29160.61415000,1766075059.21828530
60662.0,2024-08-10 02:25:08.241839,50149979116,-600.91000000,-0.98100000,60562.06231906,61262.91000000,60662.00000000,0.00107000,60661.99000000,3.48835000,60662.00000000,0.03334000,61262.91000000,61573.27000000,59535.00000000,29108.75354000,1762886145.91955230
60595.0,2024-08-10 02:30:09.028863,50150043433,-684.49000000,-1.11700000,60561.07619103,61279.48000000,60595.00000000,0.00020000,60595.00000000,0.41335000,60595.01000000,1.88662000,61279.49000000,61573.27000000,59535.00000000,29084.51821000,1761389723.29528570
60633.24,2024-08-10 02:35:08.384078,50150142549,-566.77000000,-0.92600000,60559.59648349,61200.00000000,60633.24000000,0.00185000,60633.24000000,1.49809000,60633.25000000,1.44244000,61200.01000000,61573.27000000,59535.00000000,29039.62681000,1758628081.64471100
